# p00 p10 p01 p11 rho0
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
0.96686616 0.00033171 0.00385522 0.02894690 0.00000000
